area,avg_ms,max_ms,p99_ms,calls_per_frame
__frame_total,108.346,120.357,120.357,1.000
Grass Collect,1.686,2.783,2.783,1.000
Prop Culling,0.155,0.766,0.766,1.000
Grass Wind,0.040,0.046,0.046,1.000
Face Visibility,0.034,0.058,0.058,1.000
Mesh Dirty,0.015,0.035,0.035,1.000
Fog Submit,0.003,0.059,0.059,1.000
Grass Cull,0.002,0.015,0.015,1.000
Reflection Render,0.001,0.003,0.003,1.000
Grass Animate,0.001,0.004,0.004,1.000
Prop Billboard,0.001,0.035,0.035,1.000
Visible Chunks,0.000,0.001,0.001,1.000
LOD Update,0.000,0.009,0.009,1.000
Collider Build,0.000,0.000,0.000,0.000
Foliage Fade,0.000,0.000,0.000,1.000
God Rays,0.000,0.000,0.000,0.000
Octree Rebuild,0.000,0.000,0.000,1.000
Prop Spawn,0.000,0.000,0.000,1.000
Water Sim,0.000,0.000,0.000,0.000
Water Upload,0.000,0.000,0.000,0.000
